College,Status,Team,Experience,LastName,FirstName,Number,PlayerId,Position
West Virginia,Active,Cleveland Browns,2nd season,"Alford, Mario",15,marioalford/2552650,WR
Palomar Coll. CA (J.C.),Retired, ,4 Seasons,"Hakim, Saalim", ,saalimhakim/2535716,
Pittsburgh,Retired, ,1 Season,"Jenkins, John", ,johnjenkins/2501384,
No College,Retired, ,2 Seasons,"Webb, Art", ,artwebb/2528413,
Southeastern Louisiana,Active,Atlanta Falcons,5th season,"Alford, Robert",23,robertalford/2539653,CB
McNeese State,Retired, ,6 Seasons,"Harris, Dick", ,dickharris/2515981,
Utah State,Active,Kansas City Chiefs,Rookie,"Ali'ifua, Ricky", ,rickyali'ifua/2559099,DE
Virginia Commonwealth,Active,Indianapolis Colts,Rookie,"Alie-Cox, Mo", ,moalie-cox/2558832,TE
Tennessee,Retired, ,6 Seasons,"Baker, Rashad", ,rashadbaker/2505824,
Angelo State,Retired, ,5 Seasons,"Garrett, Alvin", ,alvingarrett/2514646,
Montana,Retired, ,2 Seasons,"Kistler, Danny", ,dannykistler/2550576,
Wisconsin,Active,Philadelphia Eagles,4th season,"Allen, Beau",94,beauallen/2543884,DT
Texas,Retired, ,1 Season,"Akins, Chris", ,chrisakins/2499371,
Grambling State,Retired, ,1 Season,"Ceaser, Curtis", ,curtisceaser/2500036,
Penn State,Retired, ,2 Seasons,"Allen, Doug", ,dougallen/2508361,
Illinois,Retired, ,1 Season,"Richman, Harry", ,harryrichman/2524130,
Ohio State,Retired, ,8 Seasons,"Cassady, Hopalong", ,hopalongcassady/2511257,
No College,Retired, ,1 Season,"Aberson, Cliff", ,cliffaberson/2508159,
Arkansas,Active,Jacksonville Jaguars,2nd season,"Allen, Brandon",10,brandonallen/2555365,QB
Still,Retired, ,1 Season,"Regan, Jim", ,jimregan/2523908,
Holy Cross,Retired, ,4 Seasons,"Osmanski, Joe", ,joeosmanski/2522573,
New Mexico,Retired, ,2 Seasons,"Scarber, Sam", ,samscarber/2524990,
Utah,Active,Pittsburgh Steelers,Rookie,"Allen, Brian", ,brianallen/2558237,DB
Southern Illinois,Active,Miami Dolphins,Rookie,"Allen, Chase", ,chaseallen/2559043,LB
Stanford,Retired, ,1 Season,"Gatewood, Corey", ,coreygatewood/2536452,
North Texas,Retired, ,2 Seasons,"Battle, Ron", ,ronbattle/2509171,
Baylor,Retired, ,7 Seasons,"Nelson, Robert", ,robertnelson/2522035,
Clemson,Active,New England Patriots,6th season,"Allen, Dwayne",83,dwayneallen/2533046,TE
Hawaii,Retired, ,9 Seasons,"Hall, Ron", ,ronhall/2500975,
Michigan State,Retired, ,9 Seasons,"Quinlan, Bill", ,billquinlan/2523652,
Ohio State,Retired, ,8 Seasons,"Sanders, Chris", ,chrissanders/2502819,
Michigan State,Active,New Orleans Saints,1st season,"Allen, Jack", ,jackallen/2556720,C
Ohio State,Retired, ,1 Season,"Thompson, David", ,davidthompson/2505285,
Clemson,Retired, ,6 Seasons,"Hall, Delton", ,deltonhall/2500969,
Oklahoma,Retired, ,5 Seasons,"Campbell, Bill", ,billcampbell/2510997,
Illinois Wesleyan,Retired, ,4 Seasons,"Kaska, Tony", ,tonykaska/2518165,
