College,Status,Team,Experience,LastName,FirstName,Number,PlayerId,Position
Brigham Young,Active,New England Patriots,Rookie,"Langi, Harvey",48,harveylangi/2558963,LB
New Mexico State,Retired, ,2 Seasons,"Campbell, Joseph", ,josephcampbell/2510982,
Alabama,Retired, ,7 Seasons,"Anderson, Mark", ,markanderson/2495798,
No College,Retired, ,1 Season,"Secord, Joe", ,joesecord/2525279,
Grand Valley State,Retired, ,2 Seasons,"Fowler, Eric", ,ericfowler/2507154,
Connecticut,Unsigned free agent,Indianapolis Colts,5th season,"Todman, Jordan",28,jordantodman/2495472,RB
Lamar,Active,Denver Broncos,Rookie,"Langley, Brendan", ,brendanlangley/2558186,CB
Pittsburgh,Retired, ,1 Season,"Olejniczak, Stan", ,stanolejniczak/2522439,
Detroit Mercy,Retired, ,1 Season,"Fitzgerald, France", ,francefitzgerald/2514082,
Florida,Retired, ,4 Seasons,"Lilly, Tony", ,tonylilly/2519509,
Georgia,Retired, ,2 Seasons,"Leroy, Emarlos", ,emarlosleroy/2501728,
Florida,Retired, ,3 Seasons,"Chandler, Jeff", ,jeffchandler/2505096,
Wyoming,Retired, ,1 Season,"Kizzire, Lee", ,leekizzire/2518581,
Iowa,Retired, ,11 Seasons,"Gibbons, Jim", ,jimgibbons/2514805,
Washington,Retired, ,9 Seasons,"Parrish, Tony", ,tonyparrish/2502414,
Alabama,Retired, ,5 Seasons,"McAddley, Jason", ,jasonmcaddley/2504989,
Maryland,Retired, ,5 Seasons,"Ingram, Steve", ,steveingram/2501298,
Michigan State,Retired, ,5 Seasons,"Thomas, Devin", ,devinthomas/1036,
California,Retired, ,2 Seasons,"Norris, Hal", ,halnorris/2522255,
Alabama A&M,Active,Washington Redskins,2nd season,"Lanier, Anthony",72,anthonylanier/2556416,DE
Louisville,Retired, ,3 Seasons,"Leffew, Travis", ,travisleffew/2506697,
Texas Christian,Retired, ,1 Season,"Washington, Fred", ,fredwashington/2528283,
Newberry,Retired, ,3 Seasons,"Hartle, Greg", ,greghartle/2516037,
Virginia Tech,Retired, ,2 Seasons,"Renner, Bill", ,billrenner/2523972,
North Carolina State,Active,Miami Dolphins,8th season,"Larsen, Ted", ,tedlarsen/497026,OG
Utah,Active,Carolina Panthers,2nd season,"Larsen, Tyler",69,tylerlarsen/2550493,C
Central Michigan,Retired, ,3 Seasons,"Keyton, Darren", ,darrenkeyton/2541999,
Miami (Fla.),Retired, ,1 Season,"Watt, Walt", ,waltwatt/2528372,
Boise State,Retired, ,1 Season,"Zogg, Jon", ,jonzogg/2529676,
Arizona,Retired, ,4 Seasons,"Lewis, Roderick", ,rodericklewis/2501751,
San Diego State,Retired, ,4 Seasons,"Imhof, Martin", ,martinimhof/2517153,
Iowa State,Retired, ,1 Season,"Banks, Jon", ,jonbanks/2507347,
Baylor,Retired, ,1 Season,"Sawyer, Buzz", ,buzzsawyer/2524968,
Texas Tech,Retired, ,3 Seasons,"Francis, Carlos", ,carlosfrancis/2506050,
Texas A&M,Retired, ,4 Seasons,"Teal, Jimmy", ,jimmyteal/2527136,
Houston,Retired, ,4 Seasons,"Jackson, Johnnie", ,johnniejackson/2501329,
Northern Iowa,Retired, ,1 Season,"Talton, Tyree", ,tyreetalton/2503235,
Oklahoma,Retired, ,1 Season,"Reynolds, Jaz", ,jazreynolds/2550501,
Michigan,Retired, ,2 Seasons,"Kashama, Alain", ,alainkashama/2505817,
Tennessee,Retired, ,5 Seasons,"Hancock, Anthony", ,anthonyhancock/2515729,
Bradley,Retired, ,11 Seasons,"Jacobs, Harry", ,harryjacobs/2517341,
Indiana,Retired, ,1 Season,"Karstens, George", ,georgekarstens/2518162,
California,Active,New Orleans Saints,2nd season,"Lasco, Daniel",36,daniellasco/2555219,RB
Florida A&M,Retired, ,3 Seasons,"Felts, Bobby", ,bobbyfelts/2513931,
Boston U.,Retired, ,1 Season,"Walker, Gary", ,garywalker/2528092,
Michigan State,Retired, ,12 Seasons,"Young, Lonnie", ,lonnieyoung/2503839,
Georgia Tech,Active,Los Angeles Rams,2nd season,"Laskey, Zach",45,zachlaskey/2553721,FB
Indiana,Retired, ,1 Season,"Fisher, Ray", ,rayfisher/2508071,
Michigan,Retired, ,6 Seasons,"Perryman, Bob", ,bobperryman/2502455,
Texas,Retired, ,6 Seasons,"Chilton, Gene", ,genechilton/2500065,
Rider,Retired, ,1 Season,"Maynard, Les", ,lesmaynard/2520435,
Norfolk State,Retired, ,4 Seasons,"Ferguson, Gene", ,geneferguson/2513948,
Fresno State,Retired, ,4 Seasons,"Jennings, Adam", ,adamjennings/2495866,
Indiana,Active,Oakland Raiders,2nd season,"Latham, Darius",75,dariuslatham/2556811,DT
Houston,Retired, ,1 Season,"Harvey, Jeron", ,jeronharvey/4473,
Boston College,Retired, ,1 Season,"Asprilla, Manny", ,mannyasprilla/2553863,
Georgia,Retired, ,3 Seasons,"Goldberg, Bill", ,billgoldberg/2515003,
Duke,Retired, ,4 Seasons,"Daniels, Matt", ,mattdaniels/2534785,
USC,Retired, ,2 Seasons,"Pinkard, Josh", ,joshpinkard/494297,
Minnesota,Retired, ,11 Seasons,"Cappelletti, Gino", ,ginocappelletti/2511036,
Indiana,Active,Denver Broncos,4th season,"Latimer, Cody",14,codylatimer/2543590,WR
Humboldt State,Retired, ,1 Season,"Cheek, Steve", ,stevecheek/2504352,
Louisville,Retired, ,2 Seasons,"Jackson, Arnold", ,arnoldjackson/2504441,
Kansas State,Retired, ,10 Seasons,"Shaffer, Lee", ,leeshaffer/2525364,
Carnegie Mellon,Retired, ,9 Seasons,"Karcis, Bull", ,bullkarcis/2518146,
Stanford,Retired, ,1 Season,"Kellar, Bill", ,billkellar/2518244,
Southern Utah,Retired, ,8 Seasons,"Walterscheid, Len", ,lenwalterscheid/2528191,
Tulsa,Retired, ,4 Seasons,"Johns, Paul", ,pauljohns/2517557,
Indiana,Retired, ,1 Season,"Bell, Len", ,lenbell/2509359,
Missouri State,Retired, ,1 Season,"Eskridge, John", ,johneskridge/2504037,
Louisville,Retired, ,3 Seasons,"Andrews, Tom", ,tomandrews/2508561,
North Carolina State,Retired, ,0 Season,"Newby, James", ,jamesnewby/2522084,
UCLA,Retired, ,7 Seasons,"Peterson, Cal", ,calpeterson/2523087,
Colorado,Retired, ,2 Seasons,"Sanders, Daniel", ,danielsanders/2507608,
Kansas,Retired, ,1 Season,"Ward, Ronnie", ,ronnieward/2503534,
Arkansas,Retired, ,3 Seasons,"Phillips, Loyd", ,loydphillips/2523176,
Ohio State,Active,New Orleans Saints,Rookie,"Lattimore, Marshon", ,marshonlattimore/2558061,CB
Auburn,Retired, ,8 Seasons,"Obomanu, Ben", ,benobomanu/2495922,
Texas-El Paso,Active,Cincinnati Bengals,Rookie,"Laufasa, Darrin", ,darrinlaufasa/2558964,FB
Wake Forest,Retired, ,13 Seasons,"Pace, Calvin", ,calvinpace/2505622,
Princeton,Retired, ,1 Season,"Garrett, John", ,johngarrett/2514655,
Syracuse,Retired, ,1 Season,"Levy, Harvey", ,harveylevy/2519405,
Virginia,Retired, ,3 Seasons,"Harris, Jon", ,jonharris/2501045,
Southern Mississippi,Retired, ,5 Seasons,"Parquet, Jeremy", ,jeremyparquet/2506570,
Wisconsin,Retired, ,3 Seasons,"Canada, Larry", ,larrycanada/2511005,
Arizona State,Active,Washington Redskins,8th season,"Lauvao, Shawn",77,shawnlauvao/497028,G
Penn State,Retired, ,5 Seasons,"Davis, Bob", ,bobdavis/2512621,
Southern Mississippi,Retired, ,3 Seasons,"Law, Cordarro", ,cordarrolaw/2534799,
California,Active,Seattle Seahawks,1st season,"Lawler, Kenny", ,kennylawler/2555471,WR
Nebraska,Retired, ,14 Seasons,"Raiola, Dominic", ,dominicraiola/2504694,
Auburn,Retired, ,12 Seasons,"Gatski, Frank", ,frankgatski/2514702,
Texas-El Paso,Retired, ,1 Season,"Glosson, Clyde", ,clydeglosson/2514965,
Hamline,Retired, ,1 Season,"Haaven, Ira", ,irahaaven/2515537,
Georgetown (KY),Retired, ,1 Season,"Anderson, Kyle", ,kyleanderson/2531029,
Southern Methodist,Retired, ,1 Season,"Halliday, Jack", ,jackhalliday/2515664,
Notre Dame,Retired, ,9 Seasons,"Bavaro, Mark", ,markbavaro/2499578,
The Citadel,Retired, ,2 Seasons,"Hardy, Kevin", ,kevinhardy/2535594,
Alabama,Retired, ,1 Season,"Sanford, Sandy", ,sandysanford/2524898,
Arizona State,Retired, ,5 Seasons,"Anderson, Kim", ,kimanderson/2508499,
Tennessee,Retired, ,10 Seasons,"Lewis, Jamal", ,jamallewis/2504298,
USC,Retired, ,7 Seasons,"Darby, Byron", ,byrondarby/2512459,
Houston,Retired, ,3 Seasons,"Norris, Jim", ,jimnorris/2522256,
Florida State,Active,Cleveland Browns,2nd season,"Lawrence-Stample, Nile",70,nilelawrence-stample/2556858,DT
Michigan,Retired, ,5 Seasons,"Arrington, Adrian", ,adrianarrington/1058,
Bowling Green State,Retired, ,3 Seasons,"O'Neill, Kevin", ,kevino'neill/2502330,
Michigan,Retired, ,1 Season,"Carthens, Milt", ,miltcarthens/2511219,
Clemson,Retired, ,10 Seasons,"Perry, Michael Dean", ,michaeldeanperry/2502451,
Fresno State,Retired, ,2 Seasons,"Bayne, Chris", ,chrisbayne/2499583,
Maryland,Retired, ,7 Seasons,"Foxworth, Domonique", ,domoniquefoxworth/2506436,
Jackson State,Retired, ,1 Season,"Martin, Steve", ,stevemartin/2520264,
Tennessee,Retired, ,1 Season,"Daffer, Ted", ,teddaffer/2512391,
Montana,Retired, ,4 Seasons,"Schillinger, Shann", ,shannschillinger/1037839,
Boston U.,Retired, ,12 Seasons,"Jensen, Jim", ,jimjensen/2501396,
Boston College,Retired, ,6 Seasons,"O'Hanley, Ross", ,rosso'hanley/2522415,
East Carolina,Retired, ,4 Seasons,"Allison, Aundrae", ,aundraeallison/2495532,
Michigan State,Retired, ,7 Seasons,"Chandnois, Lynn", ,lynnchandnois/2511346,
Colorado,Retired, ,8 Seasons,"Matthews, Bo", ,bomatthews/2520369,
Colorado,Retired, ,7 Seasons,"Koncar, Mark", ,markkoncar/2518714,
,Retired, ,,"Espie, Al", ,alespie/2513699,
Boise State,Active,Dallas Cowboys,4th season,"Lawrence, Demarcus",90,demarcuslawrence/2543490,DE
Nevada-Las Vegas,Retired, ,4 Seasons,"Aaitui, Isaako", ,isaakoaaitui/2531731,
North Carolina,Active,Detroit Lions,Rookie,"Lawrence, Des", ,deslawrence/2559206,DB
No College,Retired, ,3 Seasons,"LeFebvre, Gil", ,gillefebvre/2519310,
Texas A&M,Retired, ,2 Seasons,"Alex, Keith", ,keithalex/2499381,
Florida,Retired, ,2 Seasons,"Hanks, Ben", ,benhanks/2501006,
Auburn,Active,New Orleans Saints,Rookie,"Lawrence, Devaroe", ,devaroelawrence/2559079,DT
Alabama-Birmingham,Retired, ,11 Seasons,"Thomas, Bryan", ,bryanthomas/2504976,
Loras,Retired, ,1 Season,"George, Carl", ,carlgeorge/2514762,
Mississippi,Retired, ,1 Season,"Pena, Gilbert", ,gilbertpena/2541143,
Stephen F. Austin St.,Retired, ,14 Seasons,"Centers, Larry", ,larrycenters/2500038,
Texas,Retired, ,4 Seasons,"Malone, Van", ,vanmalone/2501852,
Boise State,Unsigned free agent,Seattle Seahawks,6th season,"Johnson, Jeron", ,jeronjohnson/2495297,DB
Hawaii,Retired, ,4 Seasons,"Gaison, Blane", ,blanegaison/2514552,
Colorado State,Retired, ,8 Seasons,"Reed, Oscar", ,oscarreed/2523873,
Unknown,Retired, ,0 Season,"Matla, Pascal", ,pascalmatla/2520341,
Northwestern,Retired, ,13 Seasons,"Tasker, Steve", ,stevetasker/2503242,
Mississippi State,Retired, ,7 Seasons,"Sears, Corey", ,coreysears/2502885,
Northwestern,Active,New Orleans Saints,1st season,"Lawrence, Rashad", ,rashadlawrence/2550524,WR
Miami (Fla.),Retired, ,1 Season,"Caesar, Mark", ,markcaesar/2499963,
Nebraska,Suspended,Dallas Cowboys,2nd season,"Gregory, Randy",94,randygregory/2552446,DE
Southern Methodist,Retired, ,3 Seasons,"Pasqua, Joe", ,joepasqua/2522816,
Duke,Retired, ,2 Seasons,"Earon, Blaine", ,blaineearon/2513406,
Auburn,Active,Cincinnati Bengals,Rookie,"Lawson, Carl", ,carllawson/2557901,LB
Stanford,Retired, ,4 Seasons,"Garnett, Dave", ,davegarnett/2500768,
Utah State,Active,Detroit Lions,4th season,"Lawson, Nevin",24,nevinlawson/2543872,CB
Texas Tech,Retired, ,1 Season,"Amerson, Glen", ,glenamerson/2508437,
Arkansas,Retired, ,1 Season,"Jackson, Keith", ,keithjackson/2507258,
USC,Retired, ,4 Seasons,"Jarrett, Dwayne", ,dwaynejarrett/2507172,
Idaho,Retired, ,3 Seasons,"Dickson, JoJo", ,jojodickson/2530672,
Michigan State,Retired, ,3 Seasons,"Irvin, Sedrick", ,sedrickirvin/2501304,
Jackson State,Retired, ,6 Seasons,"Harrington, Perry", ,perryharrington/2515897,
Texas,Retired, ,14 Seasons,"Talbert, Diron", ,dirontalbert/2526989,
Illinois,Retired, ,3 Seasons,"Carson, Howie", ,howiecarson/2511173,
Michigan,Retired, ,4 Seasons,"Davis, Russell", ,russelldavis/2512629,
Kansas,Retired, ,2 Seasons,"Wellman, Mike", ,mikewellman/2528498,
Penn State,Retired, ,14 Seasons,"Lenkaitis, Bill", ,billlenkaitis/2519343,
Clemson,Active,Buffalo Bills,2nd season,"Lawson, Shaq",90,shaqlawson/2555252,DE
Texas Tech,Retired, ,14 Seasons,"Thomas, Zach", ,zachthomas/2503328,
Wisconsin,Retired, ,2 Seasons,"Davis, Ralph", ,ralphdavis/2512612,
Maryland,Active,Indianapolis Colts,1st season,"Leak, Marcus", ,marcusleak/2556390,WR
Oklahoma,Retired, ,4 Seasons,"Calmus, Rocky", ,rockycalmus/2505072,
Colorado,Retired, ,7 Seasons,"Keyworth, Jon", ,jonkeyworth/2518407,
South Carolina State,Active,New York Jets,Rookie,"Leamon, Javarius", ,javariusleamon/2558965,OT
Miami (Fla.),Retired, ,13 Seasons,"Barrow, Micheal", ,michealbarrow/2499558,
Northern Colorado,Retired, ,3 Seasons,"Ramirez, Tony", ,tonyramirez/2502579,
Alabama,Retired, ,1 Season,"Thomas, Ricky", ,rickythomas/2527279,
Ohio State,Retired, ,1 Season,"Finkes, Matt", ,mattfinkes/2500630,
Texas Christian,Retired, ,2 Seasons,"Retkofsky, Jared", ,jaredretkofsky/2507158,
Arizona,Retired, ,2 Seasons,"Kiewel, Jeff", ,jeffkiewel/2518424,
Minnesota,Retired, ,1 Season,"Hansen, Ron", ,ronhansen/2515772,
Sacramento State,Retired, ,2 Seasons,"Allred, Brian", ,brianallred/2499406,
Memphis,Active,Denver Broncos,5th season,"Leary, Ronald", ,ronaldleary/2533454,G
Fort Hays State,Retired, ,2 Seasons,"Reissig, Bill", ,billreissig/2523952,
Florida Atlantic,Active,Chicago Bears,2nd season,"LeBlanc, Cre'von",22,cre'vonleblanc/2556587,CB
Purdue,Retired, ,6 Seasons,"Perretta, Ralph", ,ralphperretta/2523035,
Michigan,Retired, ,11 Seasons,"Harden, Mike", ,mikeharden/2515804,
Northern Arizona,Retired, ,1 Season,"Gardner, Beau", ,beaugardner/2553524,
North Dakota State,Active,Cincinnati Bengals,Rookie,"Lechler, Landon", ,landonlechler/2558966,OT
Utah,Retired, ,4 Seasons,"Warren, Paris", ,pariswarren/2506557,
Texas A&M,Active,Houston Texans,18th season,"Lechler, Shane",9,shanelechler/2504319,P
Portland State,Retired, ,4 Seasons,"Lewis, Rich", ,richlewis/2519470,
Toledo,Retired, ,2 Seasons,"Kennedy, Mike", ,mikekennedy/2518340,
Arizona,Retired, ,4 Seasons,"Bell, Marcus", ,marcusbell/2504114,
Long Beach State,Retired, ,2 Seasons,"Degen, Dick", ,dickdegen/2512720,
Pittsburgh,Retired, ,1 Season,"Owens, Billy", ,billyowens/2522609,
Arkansas,Active,Detroit Lions,Rookie,"Ledbetter, Jeremiah", ,jeremiahledbetter/2558124,DE
St. Mary's (CA),Retired, ,3 Seasons,"Hardy, Andre", ,andrehardy/2515817,
Texas A&M - Kingsville,Retired, ,6 Seasons,"Bailey, Johnny", ,johnnybailey/2499492,
Miami (Fla.),Retired, ,1 Season,"Neal, Speedy", ,speedyneal/2521980,
Birmingham-Southern,Retired, ,1 Season,"Davis, Erm", ,ermdavis/2512567,
Miami (Fla.),Retired, ,11 Seasons,"Kennedy, Cortez", ,cortezkennedy/2501595,
Maryland,Retired, ,4 Seasons,"Atkinson, Jess", ,jessatkinson/2508724,
Maryland,Retired, ,1 Season,"Manges, Mark", ,markmanges/2520057,
St. Louis,Retired, ,18 Seasons,"Leahy, Pat", ,patleahy/2501709,
Nevada,Retired, ,12 Seasons,"Sanders, Eric", ,ericsanders/2502821,
Pittsburgh,Active,Carolina Panthers,14th season,"Lee, Andy",8,andylee/2506017,P
Arkansas-Pine Bluff,Retired, ,1 Season,"Ferguson, Isiah", ,isiahferguson/2553768,
Illinois State,Active,New Orleans Saints,Rookie,"Lee, Cameron", ,cameronlee/2559080,OG
Stanford,Retired, ,6 Seasons,"Harry, Emile", ,emileharry/2501067,
Arizona State,Retired, ,14 Seasons,"Allen, Eric", ,ericallen/2499396,
Luther,Retired, ,1 Season,"Hansen, Cliff", ,cliffhansen/2515766,
Ohio State,Active,New York Jets,2nd season,"Lee, Darron",50,darronlee/2555322,ILB
Baylor,Retired, ,1 Season,"Reynolds, John", ,johnreynolds/2524007,
Texas Tech,Retired, ,0 Season,"Saldi, John", ,johnsaldi/2506720,
Maryland,Retired, ,1 Season,"Kecman, Dan", ,dankecman/2518213,
Kansas State,Active,Minnesota Vikings,Rookie,"Lee, Elijah", ,elijahlee/2558121,LB
Michigan,Retired, ,7 Seasons,"Askew, B.J.", ,b.j.askew/2505515,
Indiana,Retired, ,1 Season,"Tofil, Joe", ,joetofil/2527492,
Grambling State,Retired, ,1 Season,"Eugene, Bruce", ,bruceeugene/2506628,
Ohio State,Retired, ,9 Seasons,"Foley, Dave", ,davefoley/2514190,
Wisconsin,Retired, ,11 Seasons,"Tauscher, Mark", ,marktauscher/2504144,
N.Y.U.,Retired, ,1 Season,"Wexler, Bill", ,billwexler/2528593,
Boston College,Retired, ,4 Seasons,"Urban, Luke", ,lukeurban/2527806,
Kent State,Retired, ,11 Seasons,"Lambert, Jack", ,jacklambert/2519008,
Arizona State,Retired, ,1 Season,"Thompson, Tyrice", ,tyricethompson/2527368,
LSU,Retired, ,9 Seasons,"Webster, Corey", ,coreywebster/2506382,
Duke,Retired, ,1 Season,"Rasheed, Dawud", ,dawudrasheed/2502586,
Missouri,Retired, ,0 Season,"Jackson, Xzavie", ,xzaviejackson/2495644,
Old Dominion,Retired, ,1 Season,"Cameron, Ronnie", ,ronniecameron/2534756,
Florida State,Retired, ,2 Seasons,"Baker, Shannon", ,shannonbaker/2499503,
Oklahoma,Retired, ,6 Seasons,"Allen, James", ,jamesallen/2499397,
Oregon,Retired, ,2 Seasons,"Hargain, Tony", ,tonyhargain/2501027,
Colorado State,Retired, ,1 Season,"Pauga, Zac", ,zacpauga/2530725,
South Florida,Active,Houston Texans,1st season,"Lee, Eric",61,ericlee/2556588,LB
East Tennessee State,Retired, ,1 Season,"Edison, Pedro", ,pedroedison/2504094,
Ohio State,Retired, ,7 Seasons,"Carpenter, Bobby", ,bobbycarpenter/2506882,
Colorado State,Retired, ,5 Seasons,"Bell, Mark", ,markbell/2509360,
Alabama,Retired, ,1 Season,"Watkins, Alex", ,alexwatkins/2535523,
Jackson State,Retired, ,10 Seasons,"Outlaw, John", ,johnoutlaw/2522597,
Bowie State,Active,Detroit Lions,3rd season,"Lee, Khari", ,kharilee/2553552,TE
Iowa State,Retired, ,1 Season,"Reeves, Jeremy", ,jeremyreeves/2548058,
Brown,Retired, ,0 Season,"Hartigan, Nick", ,nickhartigan/2516036,
Washington,Retired, ,5 Seasons,"Fenney, Rick", ,rickfenney/2500612,
Iowa,Retired, ,8 Seasons,"Sanders, Bob", ,bobsanders/2506123,
Stanford,Retired, ,1 Season,"Kimble, Anthony", ,anthonykimble/81839,
Middle Tennessee State,Retired, ,0 Season,"Raymond, Keon", ,keonraymond/2523803,
USC,Active,Jacksonville Jaguars,4th season,"Lee, Marqise",11,marqiselee/2543475,WR
Wake Forest,Active,Oakland Raiders,Rookie,"Lee, Marquel", ,marquellee/2557972,LB
Penn State,Active,Dallas Cowboys,8th season,"Lee, Sean",50,seanlee/496937,OLB
Penn State,Retired, ,8 Seasons,"Carter, Ki-Jana", ,ki-janacarter/2500016,
Tulane,Retired, ,1 Season,"Schneider, Leroy", ,leroyschneider/2525084,
Miami (Fla.),Retired, ,2 Seasons,"Noppenberg, John", ,johnnoppenberg/2522225,
Colorado,Retired, ,1 Season,"Thomas, Melvin", ,melvinthomas/2503316,
Oregon,Unsigned free agent,Seattle Seahawks,8th season,"Tukuafu, Will",46,willtukuafu/2527672,FB
Virginia Tech,Retired, ,1 Season,"Washington, T.J.", ,t.j.washington/2503557,
Nebraska-Omaha,Retired, ,0 Season,"Pinderhughes, Brandon", ,brandonpinderhughes/2523254,
San Diego State,Retired, ,1 Season,"Embernate, Nik", ,nikembernate/2541702,
Stephen F. Austin St.,Retired, ,6 Seasons,"Quinn, Mike", ,mikequinn/2502571,
Louisville,Retired, ,3 Seasons,"Neidert, John", ,johnneidert/2521995,
Harvard,Retired, ,2 Seasons,"Leo, Bobby", ,bobbyleo/2519353,
Clemson,Retired, ,11 Seasons,"Waters, Charlie", ,charliewaters/2528327,
Michigan,Retired, ,1 Season,"Arnold, David", ,davidarnold/2508659,
Washington,Retired, ,9 Seasons,"Garcia, Frank", ,frankgarcia/2500757,
UCLA,Retired, ,13 Seasons,"Lake, Carnell", ,carnelllake/2501681,
Washington & Lee,Retired, ,1 Season,"Barrett, Johnny", ,johnnybarrett/2509073,
Oregon,Retired, ,4 Seasons,"Davis, Drew", ,drewdavis/2530575,
Northwestern,Retired, ,4 Seasons,"King, Austin", ,austinking/2505526,
Boston College,Retired, ,2 Seasons,"Saxton, Brian", ,briansaxton/2502850,
Auburn,Active,Green Bay Packers,Rookie,"Leff, Robert", ,robertleff/2559117,OG
San Diego State,Retired, ,7 Seasons,"Applewhite, Antwan", ,antwanapplewhite/2495535,
California,Retired, ,1 Season,"Barr, Dave", ,davebarr/2499554,
Virginia,Retired, ,6 Seasons,"Ellsworth, Percy", ,percyellsworth/2500544,
Connecticut,Unsigned free agent,Buffalo Bills,6th season,"Easley, Marcus",81,marcuseasley/497286,WR
No College,Retired, ,1 Season,"Cardwell, John", ,johncardwell/2511059,
Washington,Retired, ,2 Seasons,"Newton, Chuck", ,chucknewton/2522108,
Baldwin-Wallace,Retired, ,1 Season,"Barrett, Bob", ,bobbarrett/2509076,
Arkansas State,Retired, ,3 Seasons,"Adams, Michael", ,michaeladams/2508219,
No College,Retired, ,6 Seasons,"Falcon, Guil", ,guilfalcon/2513807,
Chicago,Retired, ,3 Seasons,"Hartong, George", ,georgehartong/2516045,
Troy,Retired, ,1 Season,"Fields, Aaron", ,aaronfields/2504085,
Clemson,Active,New York Jets,Rookie,"Leggett, Jordan", ,jordanleggett/2557885,TE
USC,Retired, ,10 Seasons,"Arnett, Jon", ,jonarnett/2508654,
Grand Valley State,Active,Tennessee Titans,5th season,"Lelito, Tim", ,timlelito/2541851,G
Auburn,Active,New York Jets,5th season,"Lemonier, Corey",44,coreylemonier/2540172,OLB
Idaho State,Retired, ,2 Seasons,"Otto, Bob", ,bobotto/2522594,
Nebraska,Retired, ,6 Seasons,"Peter, Christian", ,christianpeter/2502457,
Eastern Kentucky,Active,New England Patriots,2nd season,"Lengel, Matt",82,mattlengel/2553554,TE
Oklahoma,Retired, ,8 Seasons,"Baldischwiler, Karl", ,karlbaldischwiler/2508907,
Colorado,Retired, ,3 Seasons,"Kelly, Ben", ,benkelly/2504316,
Carlisle,Retired, ,1 Season,"Barrel, Napoleon", ,napoleonbarrel/2509067,
Mississippi College,Retired, ,5 Seasons,"Everett, Major", ,majoreverett/2513772,
Arizona State,Retired, ,1 Season,"Jackson, Courtney", ,courtneyjackson/2504086,
Alabama,Retired, ,7 Seasons,"Odom, Antwan", ,antwanodom/2506105,
San Jose State,Retired, ,0 Season,"Vedder, Christopher", ,christophervedder/2527925,
Norfolk State,Retired, ,1 Season,"Harrington, LaRue", ,larueharrington/2515896,
Michigan,Retired, ,4 Seasons,"Vaughn, Jon", ,jonvaughn/2503458,
Denver,Retired, ,1 Season,"Fena, Tom", ,tomfena/2513932,
Houston,Retired, ,1 Season,"Ashworth, Jacolby", ,jacolbyashworth/2541611,
Nevada-Las Vegas,Retired, ,6 Seasons,"Thomas, Mike", ,mikethomas/2527273,
Oregon,Retired, ,5 Seasons,"Bair, Brandon", ,brandonbair/2495260,
Oklahoma,Retired, ,6 Seasons,"von Schamann, Uwe", ,uwevonschamann/2528014,
USC,Retired, ,3 Seasons,"Gentry, Byron", ,byrongentry/2514754,
Tennessee,Retired, ,7 Seasons,"Allen, Jason", ,jasonallen/2495794,
Florida,Retired, ,6 Seasons,"Jacobs, Taylor", ,taylorjacobs/2505626,
Boise State,Active,Chicago Bears,4th season,"Leno, Charles, Jr.",72,charleslenojr./2550169,T
Cal State-Fullerton,Retired, ,2 Seasons,"Abbott, Vince", ,vinceabbott/2508148,
Carthage,Retired, ,1 Season,"Walker, Adam", ,adamwalker/2528077,
Michigan State,Retired, ,10 Seasons,"Gordon, Dick", ,dickgordon/2515094,
Purdue,Retired, ,2 Seasons,"Voytek, Ed", ,edvoytek/2528023,
Mississippi College,Retired, ,8 Seasons,"Evans, Larry", ,larryevans/2513751,
Houston,Active,Arizona Cardinals,Rookie,"Leone, Richie", ,richieleone/2550218,P
Missouri,Retired, ,10 Seasons,"Seals, George", ,georgeseals/2525257,
Stanford,Retired, ,7 Seasons,"Ritchie, Jon", ,jonritchie/2502677,
Trinity (Tex.),Retired, ,1 Season,"Nairan, Ralph", ,ralphnairan/2521939,
Mississippi State,Retired, ,1 Season,"Ferguson, Sean", ,seanferguson/2538144,
Kansas,Retired, ,7 Seasons,"Sayers, Gale", ,galesayers/2524970,
Notre Dame,Retired, ,4 Seasons,"Zellars, Ray", ,rayzellars/2503854,
North Carolina State,Retired, ,10 Seasons,"Jeffires, Haywood", ,haywoodjeffires/2501374,
Baker,Retired, ,1 Season,"Jacobs, John", ,johnjacobs/2503878,
Washington,Retired, ,6 Seasons,"Hall, Dana", ,danahall/2515623,
Southern Methodist,Active,New Orleans Saints,5th season,"LeRibeus, Josh", ,joshleribeus/2532891,G
Oregon,Retired, ,1 Season,"Phinisee, Justin", ,justinphinisee/2506988,
Wisconsin,Retired, ,1 Season,"Rentmeester, Bill", ,billrentmeester/2507690,
Northern Illinois,Retired, ,3 Seasons,"Schiller, Pat", ,patschiller/2535581,
Illinois State,Retired, ,1 Season,"Washington, Joe", ,joewashington/2528294,
Texas Tech,Retired, ,6 Seasons,"Randle, Tate", ,taterandle/2523733,
Auburn,Retired, ,1 Season,"Cheek, Richard", ,richardcheek/2511394,
Oregon State,Retired, ,1 Season,"Ash, Juddy", ,juddyash/2508686,
San Francisco,Retired, ,3 Seasons,"Panciera, Don", ,donpanciera/2522697,
Monmouth (N.J.),Active,Dallas Cowboys,Rookie,"Leslie, Darnell", ,darnellleslie/2559358,DE
Florida A&M,Retired, ,6 Seasons,"Nails, Jamie", ,jamienails/2502258,
Brigham Young,Active,Cleveland Browns,1st season,"Leslie, Jordan", ,jordanleslie/2553668,WR
Tennessee,Retired, ,14 Seasons,"Irwin, Tim", ,timirwin/2501307,
Georgetown,Retired, ,1 Season,"Golsen, Tom", ,tomgolsen/2515025,
